ID,X,Y,R,Layer,Direction,Name,ImageFile,KeywordFile,TweetFile,Unit,Number,X_C,Y_C,toCenter
0,0,0,0,0,0,ikenofuna,Log/Thumb/96075183.jpg,Log/Tokens/96075183.csv,Log/Tweets/96075183.csv,0,0,0,0,FALSE
1,0,0,0,0,0,taz80470,Log/Thumb/3298238029.jpg,Log/Tokens/3298238029.csv,Log/Tweets/3298238029.csv,0,0,0,0,FALSE
2,0,0,0,0,0,SloanSamuel4,Log/Thumb/2767426062.jpg,Log/Tokens/2767426062.csv,Log/Tweets/2767426062.csv,0,0,0,0,FALSE
3,0,0,0,0,0,BlackDonuts,Log/Thumb/79125102.jpg,Log/Tokens/79125102.csv,Log/Tweets/79125102.csv,0,0,0,0,FALSE
4,0,0,0,0,0,BethMolligan,Log/Thumb/4414035927.jpg,Log/Tokens/4414035927.csv,Log/Tweets/4414035927.csv,0,0,0,0,FALSE
5,0,0,0,0,0,HellionCulture,Log/Thumb/3315527542.jpg,Log/Tokens/3315527542.csv,Log/Tweets/3315527542.csv,0,0,0,0,FALSE
6,0,0,0,0,0,h07054426183,Log/Thumb/4697829878.jpg,Log/Tokens/4697829878.csv,Log/Tweets/4697829878.csv,0,0,0,0,FALSE
7,0,0,0,0,0,Hiroki_K_,Log/Thumb/90754578.jpg,Log/Tokens/90754578.csv,Log/Tweets/90754578.csv,0,0,0,0,FALSE
8,0,0,0,0,0,Shisyutisiki,Log/Thumb/2888797296.jpg,Log/Tokens/2888797296.csv,Log/Tweets/2888797296.csv,0,0,0,0,FALSE
9,0,0,0,0,0,gty7s012,Log/Thumb/3081199897.jpg,Log/Tokens/3081199897.csv,Log/Tweets/3081199897.csv,0,0,0,0,FALSE
10,0,0,0,0,0,thisisgallery,Log/Thumb/2815568408.jpg,Log/Tokens/2815568408.csv,Log/Tweets/2815568408.csv,0,0,0,0,FALSE
11,0,0,0,0,0,YSYSY99,Log/Thumb/3413981772.jpg,Log/Tokens/3413981772.csv,Log/Tweets/3413981772.csv,0,0,0,0,FALSE
12,0,0,0,0,0,DoctorsGate,Log/Thumb/971196552.jpg,Log/Tokens/971196552.csv,Log/Tweets/971196552.csv,0,0,0,0,FALSE
13,0,0,0,0,0,cafeskhole,Log/Thumb/2251997582.jpg,Log/Tokens/2251997582.csv,Log/Tweets/2251997582.csv,0,0,0,0,FALSE
14,0,0,0,0,0,aida_mituwo_jin,Log/Thumb/4508398033.jpg,Log/Tokens/4508398033.csv,Log/Tweets/4508398033.csv,0,0,0,0,FALSE
15,0,0,0,0,0,amanenishi,Log/Thumb/99743989.jpg,Log/Tokens/99743989.csv,Log/Tweets/99743989.csv,0,0,0,0,FALSE
16,0,0,0,0,0,mayu_5221,Log/Thumb/4627518794.jpg,Log/Tokens/4627518794.csv,Log/Tweets/4627518794.csv,0,0,0,0,FALSE
17,0,0,0,0,0,gb07802r,Log/Thumb/4148625315.jpg,Log/Tokens/4148625315.csv,Log/Tweets/4148625315.csv,0,0,0,0,FALSE
18,0,0,0,0,0,rx0746p,Log/Thumb/4130104713.jpg,Log/Tokens/4130104713.csv,Log/Tweets/4130104713.csv,0,0,0,0,FALSE
19,0,0,0,0,0,r0642haaz,Log/Thumb/4115295274.jpg,Log/Tokens/4115295274.csv,Log/Tweets/4115295274.csv,0,0,0,0,FALSE
20,0,0,0,0,0,jt0598s9,Log/Thumb/4099267216.jpg,Log/Tokens/4099267216.csv,Log/Tweets/4099267216.csv,0,0,0,0,FALSE
21,0,0,0,0,0,k0588bpc,Log/Thumb/4097901267.jpg,Log/Tokens/4097901267.csv,Log/Tweets/4097901267.csv,0,0,0,0,FALSE
22,0,0,0,0,0,ch540420,Log/Thumb/3247490600.jpg,Log/Tokens/3247490600.csv,Log/Tweets/3247490600.csv,0,0,0,0,FALSE
23,0,0,0,0,0,hoppo_bunka,Log/Thumb/393784111.jpg,Log/Tokens/393784111.csv,Log/Tweets/393784111.csv,0,0,0,0,FALSE
24,0,0,0,0,0,showheyKATO,Log/Thumb/208837643.jpg,Log/Tokens/208837643.csv,Log/Tweets/208837643.csv,0,0,0,0,FALSE
25,0,0,0,0,0,kabukizyouhou,Log/Thumb/3974000952.jpg,Log/Tokens/3974000952.csv,Log/Tweets/3974000952.csv,0,0,0,0,FALSE
