ID,X,Y,Layer,Direction,Name,ImageFile,KeywordFile,TweetFile
47,0,0,0,0,hisai_shinsei,Log/Thumb/4246490952.jpg,Log/Tokens/4246490952.csv,Log/Tweets/4246490952.csv
48,0,0,0,0,C0meUs,Log/Thumb/4192080612.jpg,Log/Tokens/4192080612.csv,Log/Tweets/4192080612.csv
49,0,0,0,0,anestassiamain4,Log/Thumb/4031134336.jpg,Log/Tokens/4031134336.csv,Log/Tweets/4031134336.csv
50,0,0,0,0,rqobmf8pu4hz,Log/Thumb/4246964004.jpg,Log/Tokens/4246964004.csv,Log/Tweets/4246964004.csv
51,0,0,0,0,techhub_ev,Log/Thumb/3291727076.jpg,Log/Tokens/3291727076.csv,Log/Tweets/3291727076.csv
52,0,0,0,0,u_saku4,Log/Thumb/623320233.jpg,Log/Tokens/623320233.csv,Log/Tweets/623320233.csv
53,0,0,0,0,kypuqazydof,Log/Thumb/2434013492.jpg,Log/Tokens/2434013492.csv,Log/Tweets/2434013492.csv
54,0,0,0,0,3g2gijo5nsjs1,Log/Thumb/4143525073.jpg,Log/Tokens/4143525073.csv,Log/Tweets/4143525073.csv
55,0,0,0,0,yamatototohi,Log/Thumb/597318397.jpg,Log/Tokens/597318397.csv,Log/Tweets/597318397.csv
56,0,0,0,0,clubkisai,Log/Thumb/90723275.jpg,Log/Tokens/90723275.csv,Log/Tweets/90723275.csv
57,0,0,0,0,hanagouri,Log/Thumb/3263142774.jpg,Log/Tokens/3263142774.csv,Log/Tweets/3263142774.csv
58,0,0,0,0,takesou2016,Log/Thumb/3248347861.jpg,Log/Tokens/3248347861.csv,Log/Tweets/3248347861.csv
59,0,0,0,0,ryokuinjapan,Log/Thumb/3263253355.jpg,Log/Tokens/3263253355.csv,Log/Tweets/3263253355.csv
60,0,0,0,0,kokushikijyo,Log/Thumb/4158280999.jpg,Log/Tokens/4158280999.csv,Log/Tweets/4158280999.csv
61,0,0,0,0,KitaP2ux,Log/Thumb/4086348919.jpg,Log/Tokens/4086348919.csv,Log/Tweets/4086348919.csv
62,0,0,0,0,KOU_0924_,Log/Thumb/2904019604.jpg,Log/Tokens/2904019604.csv,Log/Tweets/2904019604.csv
63,0,0,0,0,hrskksrh,Log/Thumb/2366721685.jpg,Log/Tokens/2366721685.csv,Log/Tweets/2366721685.csv
64,0,0,0,0,yoneda34001934,Log/Thumb/4121393534.jpg,Log/Tokens/4121393534.csv,Log/Tweets/4121393534.csv
65,0,0,0,0,MovemetPqvtnefb,Log/Thumb/3055953626.jpg,Log/Tokens/3055953626.csv,Log/Tweets/3055953626.csv
66,0,0,0,0,gejuhoxyvele,Log/Thumb/2421146557.jpg,Log/Tokens/2421146557.csv,Log/Tweets/2421146557.csv
67,0,0,0,0,G4vaKa,Log/Thumb/4018605253.jpg,Log/Tokens/4018605253.csv,Log/Tweets/4018605253.csv
68,0,0,0,0,kawamura_tanma,Log/Thumb/3327561366.jpg,Log/Tokens/3327561366.csv,Log/Tweets/3327561366.csv
69,0,0,0,0,kumasan64,Log/Thumb/121572931.jpg,Log/Tokens/121572931.csv,Log/Tweets/121572931.csv
70,0,0,0,0,momokuro_brave,Log/Thumb/3713686814.jpg,Log/Tokens/3713686814.csv,Log/Tweets/3713686814.csv
71,0,0,0,0,dk330dk,Log/Thumb/450592605.jpg,Log/Tokens/450592605.csv,Log/Tweets/450592605.csv
72,0,0,0,0,bot_tatu,Log/Thumb/3360379344.jpg,Log/Tokens/3360379344.csv,Log/Tweets/3360379344.csv
73,0,0,0,0,tomerarenaiwa,Log/Thumb/3317564210.jpg,Log/Tokens/3317564210.csv,Log/Tweets/3317564210.csv
74,0,0,0,0,kanasitokiha,Log/Thumb/3039303264.jpg,Log/Tokens/3039303264.csv,Log/Tweets/3039303264.csv
75,0,0,0,0,leadponz,Log/Thumb/3550014446.jpg,Log/Tokens/3550014446.csv,Log/Tweets/3550014446.csv
76,0,0,0,0,eik9tbzsf,Log/Thumb/3735158114.jpg,Log/Tokens/3735158114.csv,Log/Tweets/3735158114.csv
77,0,0,0,0,YOKOSOPRANO,Log/Thumb/119921181.jpg,Log/Tokens/119921181.csv,Log/Tweets/119921181.csv
78,0,0,0,0,AFLOAT_NAGOYA,Log/Thumb/786596725.jpg,Log/Tokens/786596725.csv,Log/Tweets/786596725.csv
79,0,0,0,0,Rommy344,Log/Thumb/2769308526.jpg,Log/Tokens/2769308526.csv,Log/Tweets/2769308526.csv
80,0,0,0,0,dendentown,Log/Thumb/71577577.jpg,Log/Tokens/71577577.csv,Log/Tweets/71577577.csv
81,0,0,0,0,hurati,Log/Thumb/70639535.jpg,Log/Tokens/70639535.csv,Log/Tweets/70639535.csv
82,0,0,0,0,masabefreedom,Log/Thumb/1290554304.jpg,Log/Tokens/1290554304.csv,Log/Tweets/1290554304.csv
83,0,0,0,0,_fukakusa,Log/Thumb/56698570.jpg,Log/Tokens/56698570.csv,Log/Tweets/56698570.csv
84,0,0,0,0,oelyan1,Log/Thumb/3613867515.jpg,Log/Tokens/3613867515.csv,Log/Tweets/3613867515.csv
85,0,0,0,0,chuunen45,Log/Thumb/2945793571.jpg,Log/Tokens/2945793571.csv,Log/Tweets/2945793571.csv
86,0,0,0,0,ToTsukako,Log/Thumb/3611523373.jpg,Log/Tokens/3611523373.csv,Log/Tweets/3611523373.csv
87,0,0,0,0,hze00702,Log/Thumb/3017841586.jpg,Log/Tokens/3017841586.csv,Log/Tweets/3017841586.csv
88,0,0,0,0,GoYosha24,Log/Thumb/3360553160.jpg,Log/Tokens/3360553160.csv,Log/Tweets/3360553160.csv
89,0,0,0,0,TicketsToday_JP,Log/Thumb/3318386814.jpg,Log/Tokens/3318386814.csv,Log/Tweets/3318386814.csv
90,0,0,0,0,kushiro00001,Log/Thumb/2463237896.jpg,Log/Tokens/2463237896.csv,Log/Tweets/2463237896.csv
91,0,0,0,0,6Guarno,Log/Thumb/3160463761.jpg,Log/Tokens/3160463761.csv,Log/Tweets/3160463761.csv
92,0,0,0,0,sore_tigaimasu,Log/Thumb/3234238393.jpg,Log/Tokens/3234238393.csv,Log/Tweets/3234238393.csv
93,0,0,0,0,irismaity1223,Log/Thumb/2808715130.jpg,Log/Tokens/2808715130.csv,Log/Tweets/2808715130.csv
94,0,0,0,0,mobamani,Log/Thumb/1064869004.jpg,Log/Tokens/1064869004.csv,Log/Tweets/1064869004.csv
95,0,0,0,0,tabi_con,Log/Thumb/592746501.jpg,Log/Tokens/592746501.csv,Log/Tweets/592746501.csv
96,0,0,0,0,koheikana0006,Log/Thumb/3413512045.jpg,Log/Tokens/3413512045.csv,Log/Tweets/3413512045.csv
97,0,0,0,0,jojojojoe07,Log/Thumb/2938750424.jpg,Log/Tokens/2938750424.csv,Log/Tweets/2938750424.csv
98,0,0,0,0,freeman_tky,Log/Thumb/2663108388.jpg,Log/Tokens/2663108388.csv,Log/Tweets/2663108388.csv
99,0,0,0,0,naoshoukikushou,Log/Thumb/1708896794.jpg,Log/Tokens/1708896794.csv,Log/Tweets/1708896794.csv
100,0,0,0,0,kuma30623,Log/Thumb/1707055400.jpg,Log/Tokens/1707055400.csv,Log/Tweets/1707055400.csv
