"上映","7","0","0.0","0.0"
"切腹","5","0","0.0","0.0"
"お待ち","5","0","0.0","0.0"
"名古屋","4","0","0.0","0.0"
"お願い","3","0","0.0","0.0"
"争奪","2","0","0.0","0.0"
"映画","2","0","0.0","0.0"
"土","2","0","0.0","0.0"
"公演","2","0","0.0","0.0"
"木","2","0","0.0","0.0"
"出演","2","0","0.0","0.0"
"興行","2","0","0.0","0.0"
"限定","2","0","0.0","0.0"
"おかけ","2","0","0.0","0.0"
"チケット","2","0","0.0","0.0"
"返信","2","0","0.0","0.0"
"メール","2","0","0.0","0.0"
"発売","2","0","0.0","0.0"
"御礼","2","0","0.0","0.0"
"ハゲ","2","0","0.0","0.0"
"広島","2","0","0.0","0.0"
"ゲスト","2","0","0.0","0.0"
"処理","2","0","0.0","0.0"
"完売","2","0","0.0","0.0"
"しま","1","0","0.0","0.0"
"女の子","1","0","0.0","0.0"
"ドキュメンタリー","1","0","0.0","0.0"
"渋","1","0","0.0","0.0"
"税","1","0","0.0","0.0"
"野中","1","0","0.0","0.0"
"杉本","1","0","0.0","0.0"
"集合","1","0","0.0","0.0"
"寺子屋","1","0","0.0","0.0"
"最初","1","0","0.0","0.0"
"シネマ","1","0","0.0","0.0"
"ファミリーマート","1","0","0.0","0.0"
"コンビニ","1","0","0.0","0.0"
"到着","1","0","0.0","0.0"
"開場","1","0","0.0","0.0"
"皆様","1","0","0.0","0.0"
"関東","1","0","0.0","0.0"
"コンサート","1","0","0.0","0.0"
"発表","1","0","0.0","0.0"
"藤井","1","0","0.0","0.0"
"連","1","0","0.0","0.0"
"お札","1","0","0.0","0.0"
"戦","1","0","0.0","0.0"
"ナオ","1","0","0.0","0.0"
"東海","1","0","0.0","0.0"
"席","1","0","0.0","0.0"
"チェック","1","0","0.0","0.0"
"ホール","1","0","0.0","0.0"
"日本人","1","0","0.0","0.0"
"ローソン","1","0","0.0","0.0"
"トーク","1","0","0.0","0.0"
"にらめっこ","1","0","0.0","0.0"
"前売","1","0","0.0","0.0"
"幕開け","1","0","0.0","0.0"
"削除","1","0","0.0","0.0"
"武者","1","0","0.0","0.0"
"あと","1","0","0.0","0.0"
"広告塔","1","0","0.0","0.0"
"純一","1","0","0.0","0.0"
"ボックス","1","0","0.0","0.0"
"監修","1","0","0.0","0.0"
"エラー","1","0","0.0","0.0"
"見逃し","1","0","0.0","0.0"
"火","1","0","0.0","0.0"
"公","1","0","0.0","0.0"
"イベント","1","0","0.0","0.0"
"全員","1","0","0.0","0.0"
"予約","1","0","0.0","0.0"
"気持ち","1","0","0.0","0.0"
"レモン","1","0","0.0","0.0"
"ユキ","1","0","0.0","0.0"
"脱力","1","0","0.0","0.0"
"ヤン","1","0","0.0","0.0"
"参考","1","0","0.0","0.0"
"馴染み","1","0","0.0","0.0"
"開催","1","0","0.0","0.0"
"間","1","0","0.0","0.0"
"公開","1","0","0.0","0.0"
"余裕","1","0","0.0","0.0"
"松村","1","0","0.0","0.0"
"レゲエ","1","0","0.0","0.0"
"誠","1","0","0.0","0.0"
"おっぱい","1","0","0.0","0.0"
"蔭涼寺","1","0","0.0","0.0"
"瞬","1","0","0.0","0.0"
"当店","1","0","0.0","0.0"
"ハイ","1","0","0.0","0.0"
"お知らせ","1","0","0.0","0.0"
"演奏","1","0","0.0","0.0"
"回線","1","0","0.0","0.0"
"取り扱い","1","0","0.0","0.0"
"人","1","0","0.0","0.0"
"お互い様","1","0","0.0","0.0"
"紹介","1","0","0.0","0.0"
"根っこ","1","0","0.0","0.0"
"キャンセル","1","0","0.0","0.0"
"ステージ","1","0","0.0","0.0"
"立","1","0","0.0","0.0"
"回転","1","0","0.0","0.0"
"金","1","0","0.0","0.0"
"黒","1","0","0.0","0.0"
"克哉","1","0","0.0","0.0"
"他","1","0","0.0","0.0"
"京都","1","0","0.0","0.0"
"受信","1","0","0.0","0.0"
"篤","1","0","0.0","0.0"
"勤","1","0","0.0","0.0"
"大阪","1","0","0.0","0.0"
"テン","1","0","0.0","0.0"
"速攻","1","0","0.0","0.0"
"監督","1","0","0.0","0.0"
"富田","1","0","0.0","0.0"
"先着","1","0","0.0","0.0"
"廉価","1","0","0.0","0.0"
"天下一品","1","0","0.0","0.0"
"チェッカーズ","1","0","0.0","0.0"
"岡山","1","0","0.0","0.0"
"開演","1","0","0.0","0.0"
